Housing_Cost,Median Income,Occupied_Units,Total_Homelessness,Housing_Units,US_Inflation,Total_Homelessness,Unemployment,Unoccupied_Units,Income/Housing Cost
181285,45877,0.4064236051,0.002435960582,0.4401757862,4.33,0.002435960582,0.02866644522,0.0337521811,0.2530656149
173795,46192,0.4101104157,0.003805996821,0.442056455,0.59,0.003805996821,0.04767571842,0.03194603925,0.2657844012
171566,46662,0.4088347262,0.003767385581,0.4420204628,0.33,0.003767385581,0.05934855468,0.03318573663,0.2719769651
162419,47333,0.4082745826,0.003040816327,0.4410667904,2.56,0.003040816327,0.05819294991,0.03279220779,0.2914252643
161611,47399,0.4083488203,0.002625288259,0.4397825652,2.62,0.002625288259,0.05578416498,0.03143374495,0.2932906795
164769,47989,0.4046674136,0.00212981892,0.437016653,1.22,0.00212981892,0.05440041323,0.03234923938,0.2912501745
169789,47413,0.4025969334,0.002265271616,0.4352807925,1.83,0.002265271616,0.04970229923,0.03268385913,0.2792465943
172374,47030,0.3993907483,0.002314365249,0.4339677607,1.34,0.002314365249,0.04730512217,0.03457701244,0.2728369708
177316,48127,0.397443518,0.002194451378,0.4347060926,2.24,0.002194451378,0.04454987708,0.03726257455,0.2714193869
184749,49878,0.397183134,0.002367446355,0.4372087843,3,0.002367446355,0.0480835899,0.04002565033,0.2699771041
195616,51128,0.3983319087,0.00239627183,0.4370191809,3.21,0.00239627183,0.03842618589,0.03868727222,0.2613692132
209281,52911,0.4007444036,0.002724474144,0.4388405611,2.54,0.002724474144,0.04000543465,0.03809615749,0.2528227598
230736,53936,0.4098532065,0.002829884003,0.4423718924,1.71,0.002829884003,0.03761104975,0.03251868598,0.2337563276
268574,56366,0.4200175696,0.002786590224,0.4497738007,4.49,0.002786590224,0.06120184374,0.02975623115,0.2098713948
309295,61503,0.4262724624,0.002270016407,0.4536086506,8.89,0.002270016407,0.04042122403,0.02733618819,0.1988489953